Title,Release_Date,Expired_Date,Activity_Code,Parent_Organization,Organization,Participating_Orgs,Document_Number,Document_Type,Clinical_Trials,URL
"Intervention Research to Improve Native American Health (R34 Clinical Trial Optional)","1/22/2025","1/8/2027","R34","NIH","NIDA","NCCIH, NIA, NIAAA, NICHD, NIDCR, NIEHS, NIMH, NINR, OBSSR, ODP, ORWH, THRO","PAR-25-378","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-378.html"
"New Investigator Gateway Awards for Collaborative T1D Research (R03 Clinical Trial Not Allowed)","1/22/2025","3/7/2026","R03","NIH","NIDDK","OD","RFA-DK-26-009","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-DK-26-009.html"
"Short Courses on Innovative Methodologies and Approaches in the Behavioral and Social Sciences (R25 Clinical Trials Not Allowed)","1/21/2025","4/10/2027","R25","NIH","OBSSR","NCCIH, NCI, NHLBI, NIDA, NIDCD, NIDCR, NIDDK, NIMH, NINR, ODP, ODS, ORWH","RFA-OD-25-003","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-25-003.html"
"Notice of Special Interest (NOSI): Digital Technology for Early Detection and Monitoring of Alzheimers Disease (AD) and AD-Related Dementias (ADRD)","1/21/2025","11/17/2027","R21,R01","NIH","NIA","NLM","NOT-AG-24-043","NOSIS","Optional","https://grants.nih.gov/grants/guide/notice-files/NOT-AG-24-043.html"
"NIA Postdoctoral Fellowship Award to Promote Broad Participation in Translational Research for AD/ADRD (F32 Clinical Trial Not Allowed)","1/17/2025","12/9/2027","F32","NIH","NIA","None","PAR-24-332","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-24-332.html"
"Notice of Special Interest (NOSI): Genetic Underpinnings of Endosomal Trafficking as a Pathological Hub in Alzheimer's Disease (AD) and AD-Related Dementias (ADRD)","1/17/2025","11/17/2027","R21,R01","NIH","NIA","None","NOT-AG-24-029","NOSIS","Optional","https://grants.nih.gov/grants/guide/notice-files/NOT-AG-24-029.html"
"Notice of Special Interest (NOSI):   Addressing Cancer-Related Financial Hardship to Improve Patient Outcomes","1/17/2025","1/8/2028","U34,R34,R03,R01,R21,P01","NIH","NCI","None","NOT-CA-25-035","NOSIS","Optional","https://grants.nih.gov/grants/guide/notice-files/NOT-CA-25-035.html"
"Laboratory Flexible Funding Model (LFFM)","1/17/2025","1/11/2028","U19","FDA","FDA","None","RFA-FD-25-007","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-FD-25-007.html"
"NIA Predoctoral Fellowship Award to Promote Broad Participation in Translational Research for AD/ADRD (F31 Clinical Trial Not Allowed)","1/17/2025","12/9/2027","F31","NIH","NIA","None","PAR-24-333","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-24-333.html"
"Leadership and Coordination Center (LACC) for the MACS/WIHS Combined Cohort Study (MWCCS) (U01 Clinical Trials Not Allowed)","1/16/2025","5/3/2025","U01","NIH","NHLBI","NCI, NIA, NIAAA, NIAID, NICHD, NIDA, NIDCD, NIDCR, NIMH, NIMHD, NINR, ORWH","RFA-HL-26-011","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-HL-26-011.html"
"Limited Competition: Data Analysis and Sharing Center (DASC) for the MACS/WIHS Combined Cohort Study (MWCCS) (U01 Clinical Trials Not Allowed)","1/16/2025","5/3/2025","U01","NIH","NHLBI","NCI, NIA, NIAAA, NIAID, NICHD, NIDA, NIDCD, NIDCR, NIMH, NIMHD, NINR, ORWH","RFA-HL-26-010","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-HL-26-010.html"
"Limited Competition: Clinical Research Sites (CRS) for the MACS/WIHS Combined Cohort Study (MWCCS) (U01 Clinical Trial Not Allowed)","1/16/2025","5/3/2025","U01","NIH","NHLBI","NCI, NIA, NIAAA, NIAID, NICHD, NIDA, NIDCD, NIDCR, NIMH, NIMHD, NINR, ORWH","RFA-HL-26-009","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-HL-26-009.html"
"Asthma and Allergic Diseases Cooperative Research Centers (U19 Clinical Trial Optional)","1/16/2025","6/14/2025","U19","NIH","NIAID","None","RFA-AI-24-079","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-AI-24-079.html"
"T32 Training Program to Promote Broad Participation (T32 Clinical Trial Not Allowed)","1/16/2025","9/15/2026","T32","NIH","NHLBI","None","PAR-25-356","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-356.html"
"Collaborative Research Using Biosamples and/or Data from Type 1 Diabetes Clinical Studies (R01 - Clinical Trial Not Allowed)","1/15/2025","3/9/2026","R01","NIH","NIDDK","OD","RFA-DK-26-007","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-DK-26-007.html"
"National Cooperative Drug/Device Discovery/Development Groups (NCDDG) for the Treatment of Mental Disorders (U19 Clinical Trial Optional)","1/15/2025","10/26/2027","U19","NIH","NIMH","None","PAR-25-353","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-353.html"
"National Cooperative Drug/Device Discovery/Development Groups (NCDDG) for the Treatment of Mental Disorders (U01 Clinical Trial Optional)","1/15/2025","10/26/2027","U01","NIH","NIMH","None","PAR-25-352","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-352.html"
